aba	acostamento/berma
conexão	parentesco/parentesco/categoria/comparação/fundação/afinidade/porção/possessão/componente/propriedade/relação/relação/parte
confeccionar	tricotar/urdir/assar/cozinhar/fiar/tecer/tecer/moldar/forjar/modelar/formar/preparar
confinamento	detenção/custódia/restrição/limitação
confirmação	crisma/verificação
conflito	peleja/pugna/desacordo/discordo/insurreição/revolta/rixa/atrito/fricção/guerra/rebelião/discordância/disputa/combate/combate/batalha/luta
conformidade	concessão/consenso/acordo
conforto	alívio
confronto	desacordo/discordo/rixa/atrito/fricção/discordância
confundir	enganar-se/tropeçar
conhecer	realizar/compreender/entender
conhecida	conexão
conhecido	camarada/companheiro/irmão/amigo/conexão
conhecimento	psique/atitude/circunstância/instância/mente/consideração/disciplina/evidência/familiaridade/cabeça/exemplo/representante/campo/domínio
conjunto	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo/povo
conseguir	efectuar/efetuar/negociar/suceder/alcançar/obter/realizar/atingir/atingir/passar
conselho	repreensão
consenso	concessão/acordo
consentir	aturar/tolerar/aguentar/permitir/suportar/concordar/admitir/admitir/aceitar/deixar
consequência	efeitos/impacto/influência/efeito/efeito/produto
conseqüência	efeitos/impacto/influência/efeito/efeito/produto
conserto	manutenção
considerar	prezar/respeitar/venerar
consideração	justificativa/justificação
consignar	empenhar
consorte	cônjuge/esposa/esposo/marido/varão/mulher/homem
consternação	estupefação/pânico/terror/medo/medo
constituir	nomear
construir	erigir/tricotar/urdir/assar/cozinhar/fiar/tecer/tecer/moldar/forjar/modelar/formar/preparar
construção	fabricação
consumidor	freguês/cliente/comprador
consumir	deglutir/ingurgitar/luxuriar/papar/fumar/beber/engolir/comer/experimentar/provar/tomar
consórcio	cartel
contabilizar	cobrar
contaminação	poluição
contar	divagar/remarcar/descerrar/enunciar/reparar/retrucar/divulgar/notar/articular/somar/cobrar/comentar/mencionar/replicar/vocalizar/responder/adicionar/revelar/dizer
contas	bisbilhotice/bisbolhetice/fofoca
contemplar	ponderar/questionar/perguntar
contendor	atleta/campeão/desportista/jogador/ganhador/participante/vencedor
contentor	cassete/contentores/envelope/mostrador/mostruário/sobrecarta/vasilhame/xícara/balde/chávena/gaveta/gaveta/louça/sobrescrito/tonel/vitrina/vitrine/cesta/copo/taça/cesto/lata/vasilha/vasilha/vaso/colher/carteira/bolsa/prato/caixa/caixa
conter	denegar/abranger/constrangir/privar/incluir/proibir/negar/recusar/restringir/rejeitar/compreender/ter
conteúdo	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/chávena/requerimento/significância/submissão/tolice/bobagem/propaganda/requisição/significação/solicitação/conselho/direção/matéria/promoção/publicidade/tópico/assunto/besteira/petição/tema/informação/apelo/opinião/significado/anúncio/entrada/história/intenção
continuar	abranger/atravessar
continuidade	reinado
contrair	asfixiar/estrangular
controlar	conquistar/sufocar/reprimir/suprimir/limitar/restringir/conter
controle	supremacia/monopólio/possessão/propriedade/domínio/domínio
controlo	possessão/propriedade
controvérsia	disputa/discussão
contêiner	cassete/contentores/envelope/mostrador/mostruário/sobrecarta/vasilhame/xícara/balde/chávena/gaveta/gaveta/louça/sobrescrito/tonel/vitrina/vitrine/cesta/copo/taça/cesto/lata/vasilha/vasilha/vaso/colher/carteira/bolsa/prato/caixa/caixa
convergência	encontro/reunião
conversa	diálogo/troca/debate/discussão
conversar	cochichar/balbuciar/rosnar/sussurrar/resmungar/discutir/murmurar/murmurar/berrar/cantar/gritar
conversação	diálogo/troca/debate/conversa/discussão
convexidade	pico/ponta
convicção	doutrina/expetativa/religião/filosofia/expectativa/certeza/fé/fé
cooperação	dedicação/conformidade
coorte	jovem/juventude
cor	pigmento/tinta/pintura
corante	pigmento/tinta/pintura/cor
corda	toa/fio/lã/cabo
corpo	divisão/enchido/partículas/defunto/anatomia/cadáver/tropa/partícula/carne/companhia/companhia/massa
corrente	rio/caminho
correr	entornar/verter/derramar/esfregar
corresponder	assemelhar-se/assemelhar/parecer
correção	compensação/compensação
corrida	campanha
corrigir	sintonizar/afinar/regular/ajustar
cortar	rascar/coçar/raspar
corte	bifsteque/filé/pernil/bife
cortina	reposteiro
cosmo	natureza
cosmético	maquiagem/maquilagem
costa	beira-mar/declividade/ribeira/barranco/descida/declínio/litoral/margem
costume	rito/cooperação/ritual/hábito
cozinhar	preservar/conservar
creador	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/designer/fazendeiro/artista/produtor
crença	doutrina/expetativa/convicção/religião/filosofia/expectativa/certeza/fé/fé
crer	engulir
crescer	germinar/prolongar/florescer/expandir/subir/aumentar/aumentar
crescimento	acréscimo/acumulação/pulo/cultura/salto
criado	manequim/secretário/secretária/modelo/modelo
criador	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/designer/fazendeiro/artista/produtor
criança	bebé/criancinha/nenê/recém-nascido/bebê
criar	concitar/elicitar/engendrar/filmar/pincelar/pintar/procriar/recriar/copiar/gerar/compor/formar/escrever/estimular/incitar/organizar/dirigir/provocar/fazer
criatividade	inovação/inovação/concepção/concepção/invenção/invenção
criativo	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/designer/fazendeiro/artista/produtor
criatura	cria/embriões/predadores/embrião/prole/filhote/presa
criação	natureza/inovação/invenção/arte
crime	infracção/infração/furto/roubo
crise	depressão/recessão/urgência/emergência
cristal	gelo/gema/pedra
crónica	biografia
crônica	biografia
cuidar-se	barbear-se/barbear/raspar
cultivar	produzir/fazer
cultivo	agricultura/pecuária
curso	orientação/seminário/seminário/moda/tendência/caminho
curva	arco
curvar	acovardar/acovardar-se/debruçar/agachar/inclinar/inclinar/dobrar
custo	cifra/tarifa/prejuízo/vermelho/perda/número
cão	cachorra/cachorro/cadela/loba/lobo/matreiro/raposa/raposa-vermelha/raposa
círculo	camarilha
cólera	fúria/ira/raiva
cónjuge	cônjuge/esposa/esposo/marido/varão/mulher/homem
cópia	replicação/réplica/reprodução
córrego	rio
cônjuge	esposa/esposo/marido/varão/mulher/homem
dado	hora
danificar	deteriorar/estragar
dano	picada/ferida/fractura/fratura/ferimento/lesão/queimadura
dar	contagiar/legar/arrendar/emprestar/infetar/prestar/doar/doar/infectar/alugar/prover/abastecer/dispensar/distribuir/fornecer/suprir/submeter/pagar/deixar/entregar/entregar/passar
debate	tramitação/negociação/conversa/discussão
decair	degenerar/degradar/deteriorar/piorar
decidir	seleccionar/adjudicar/selecionar/julgar/escolher
decisão	intercorrência/opção/alternativa/eleição/escolha/julgamento/resolução/resolução
declarar	confessar/reconhecer/admitir
declaração	anunciação/declaracão/proclamação/cotação/emenda/explanação/promulgação/reservas/comentário/proposição/asserção/asserção/estimativa/orçamento/promessa/compromisso/explicação/fórmula/termo/condição/garantia/resposta/verdade/resultado/sumário/anúncio/resumo/observação
declivar	cair
declive	declividade/ribeira/barranco/descida/declínio/margem
declives	declividade/ribeira/barranco/descida/declínio/margem
decoração	laço/ornamento/banda/faixa
decreto	interdição/proibição
dedo	polegar/índex/artelho/indicador
defeito	flaw/falha/erro
defender	salvaguardar/assegurar/proteger/salvar/guardar/guardar/segurar
defensor	bombeira/bombeiro/bombeiros/bombeiro/porta-voz/representante/guarda
deferência	estimação/apreciação
deficiência	penúria/escassez/fome/falta/carência
deformar	flexionar/torcer/torcer
defraudar	roubar
defunto	enchido/cadáver/corpo
deixar	aturar/demitir-se/quitar/resignar/tolerar/aguentar/renunciar/suportar/admitir/admitir/aceitar/abandonar
delapidar	indulgir
delegar	avançar/promover/escolher
delicadeza	favor/gentileza
delito	infringemento/violação
demanda	consumo
demandar	exigir/requerer
denominação	título
denotar	identificar/nomear
depósito	armazenamento
derramar	gotejar/salpicar/pingar/espalhar
desacordo	querela/controvérsia/discordância/disputa/discussão
desafiante	campeão
desafortunado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente
desagradar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar
desaguar	salpicar/espalhar
desaparecer	caldear
desastre	avaria/queda/ruína
descansar	ajoelhar-se/levantar
descendente	criança/filho/menino
descendência	criança/filho/menino/família
descer	naufragar/afundar/derrubar/pôr/cair
descolorir	enrubescer/rosar/ruborizar/corar/avermelhar
desconsideração	esnobada/desprezo
desculpar	escusar/perdoar
desejar	ansiar/suspirar
desejo	capricho/comichão/impertinência/ambição/caprichoso/pretensão/aspiração/fantasia
desempenhar	actuar/atuar/representar/tocar/fazer
desenhar	plotar/diagramar
desenho	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/esquema/imagem/imagem/imagem/figura/figura/ilustração/ilustração/modelo/plano
desenvolver	amadurecer/envelhecer
desenvolvimento	progresso
desgostar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar
desgosto	amargura/tristeza/dor/pesar
designação	nomeação
desinformar	mentir/exagerar/enganar/trair/aumentar
desintegrar	arrebentar
deslizar	resvalar/derrapar/escorregar/patinar/patinar
deslocamento	vacilação/migração/precipitação/regresso/retorno
deslocar	arredar/contorcer/enroscar/espernear/torcer-se/alçar/botar/manar/virar-se/arremessar/dançar/estalar/fluir/largar/flexionar/entornar/pulsar/tornar-se/tropeçar/verter/verter/alongar/balançar/derramar/derramar/elevar/impulsionar/expulsar/puxar/embalar/erguer/esticar/mexer/mexer/transportar/dobrar/empurrar/forçar/girar/pular/pôr/sacudir/saltar/soltar/tremer/sair/transmitir/correr/levantar/levar/partir/partir/agitar/agitar/agitar/colocar/deixar/virar/virar/virar/carregar/carregar/tirar/separar/bater/bater
desmentir	pretextar/aparentar/distorcer/simular/fingir
desmoronar	arrombar/estourar/arrebentar/arrebentar/arrebentar/explodir/quebrar
desonra	ignomínia/desgraça/vergonha
desordem	comoção/bagunça/zona/confusão
desordenar	misturar
despachar-se	correr
despender	delapidar/dilapidar/esbanjar/desperdiçar/desperdiçar
desperdiçar	indulgir
desportista	corredor
destino	falhanço/falha
desvantagem	limitação
desventurado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente
determinar	enumerar/situar/localizar/contar/achar
dever	incumbência/serviço
dia	anoitecer/efeméride/aniversário/feriado/véspera/data/tarde/tarde/noite
diferenciar	discriminar
dificuldade	problema/obstáculo
dilapidar	indulgir
dimensão	anchura/largura
diminuir	encurtar/resumir/condensar/abreviar/reduzir
diminuição	disconto/desconto/abatimento/corte
dinheiro	cache/numerário/troco/divisa/capital/moeda/fundo
direcção	moda/tendência
direito	admitância/acesso/acesso
direção	moda/tendência
dirigir	encabeçar/estacionar/liderar/comandar
disciplina	engenharia/tecnologia/arquitetura/teologia/ciência/arquitectura/controle
disco	ponto
discordo	querela/controvérsia/discordância/disputa/discussão
discordância	querela/controvérsia/controvérsia/disputa/disputa/discussão/discussão
discrepância	querela/controvérsia/discordância/disputa/discussão
discurso	pregação/preleção/prédica/palestra/sermão/fala/linguagem/idioma/língua
discussão	tramitação/negociação/controvérsia/debate/conversa/disputa
discutir	deliberar/deliberar/debater/considerar
discórdia	querela/controvérsia/discordância/disputa/discussão
dispor	agavelar/coordenar/empilhar/acumular/organizar
dispositivo	acendedor/arapuca/encosto/engenhoca/filtros/gadget/sensor/apetrecho/armadilha/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/chave/mecanismo/máquina/suporte/instrumento/instrumento/ferramenta/ferramenta/rede
disposição	otimismo/ambição/aspiração
disputa	controvérsia/discussão
disputar	pugnar/lutar
distinguir	discriminar
distribuição	carteamento/carteio
districto	empreendimento
distrito	empreendimento
disturbar	transtornar/preocupar/perturbar
ditado	lemas/mote/cambial/lema
diversão	entretenimento/esporte/hobby/celebração/entreterimento/entreterimento/entreterimento/festividade/passatempo/passatempo/divertimento/divertimento/festa/jogo/jogo/jogo
divertir	hospedar/receber
dividir	romper/arrombar/estourar/arrebentar/arrebentar/arrebentar/explodir/quebrar/quebrar
divisa	cache/cêntimo/numerário/centavo/capital/moeda/dinheiro/dinheiro/fundo
divisão	cisma/cisão/dissidência/parcela/parte
divisória	muralha/muro/parede
dizer	cochichar/remarcar/balbuciar/enunciar/reparar/retrucar/rosnar/sussurrar/notar/resmungar/articular/comentar/mencionar/murmurar/murmurar/replicar/vocalizar/berrar/cantar/responder/gritar
doação	contributo/galardão/prémio/caridade/prêmio/ajuda/presente
dobrar	acovardar/acovardar-se/debruçar/agachar/curvar/inclinar/inclinar
doce	pudim
documentação	atestado/certidão/copyright/escritura/foro/fretamento/certificado/cédula/formulário/patente/reporte/relato/relatório/estudo/instrumento/renúncia
documento	atestado/certidão/copyright/escritura/foro/fretamento/missiva/certificado/cédula/formulário/patente/reporte/relato/relatório/carta/registro/estudo/instrumento/renúncia
documentos	alínea/diários/ensaios/parágrafo/documentação/documento/manuscrito/versão/diário/ensaio/literatura
doença	doenças/tumores
doer	lesionar/lesar/ferir/asfixiar/sufocar/machucar
dom	galardão/prémio/prêmio/ajuda/presente
domicílio	vivenda/habitação/casa
dominancia	supremacia/monopólio/domínio/domínio
doméstico	ama/arrumadeira/camareira/criada/empregada
domínio	empreendimento/supremacia/engenharia/monopólio/tecnologia/arquitetura/teologia/ciência/arquitectura
dor	desgosto/tormento/tormento/amargura/tortura/tortura/martírio/martírio/agonia/agonia/tristeza/pesar
dormir	dormitar/cochilar
dormitar	cochilar
doutor	cirurgião
doutrina	credo
dr.	cirurgião
droga	medicamento/remédio
ducto	canudo/tubo
dupla	casal
duração	reinado
duto	canudo/tubo
dádiva	galardão/prémio/prêmio/ajuda/presente
débito	empréstimo/crédito
dígito	artelho/dedo/dedo
dívida	empréstimo/empréstimo/crédito/crédito
dívidas	empréstimo/crédito
dúvida	receio/desconfiança
edificar	erigir/construir
edificação	fabricação/construção
edifício	escolas/estádio/plantel/sacada/torres/varanda/vivenda/alojamento/altar/estufa/hall/hotel/letreiro/pavimento/piso/placar/ponte/prédio/restaurante/roque/torre/varanda/arena/balcão/cruz/dormitório/monumento/monumentos/viveiro/painel/abrigo/biblioteca/colégio/departamento/habitação/ruína/salão/centro/escola/placa/casa/casa/andar
edição	referência/livro/livro
educacionista	instrutor/docente/mestre/professor
educador	instrutor/docente/mestre/professor
educação	experiência
efeito	efeitos/impacto/influência/tentação/produto
efetuação	jeito/modo/maneira/ferramenta/meio/caminho
ejetar	sangrar
elaborar	exemplificar/ilustrar
elegância	estilo
eleição	cabimento/default/possibilidade/padrão
elemento	destaque/realçe
elevar	bombear
elevação	montanhas/montanhas/morro/barranco/colina/montanha/montanha/ladeira/monte/monte
elipse	círculo
elocubrar	exemplificar/ilustrar
elogiar	preconizar/publicitar/recomendar/divulgar/promover/anunciar
embalagem	penca/molho/fardo/feixe/pacote/pacote
embelezar	lustrar/polir
emblema	bandeira/numeral/pendão/bandeira/vareta/estandarte/pavilhão/águia/símbolo/selo/número
embonecar	lustrar/polir
emissão	telejornais/episódio/notícias
emitir	carpir/lamentar-se/latir/urrar/bramir/gemir/ladrar/rugir/gemer/uivar/berrar/berrar/gritar
emocionar	transtornar/atemorizar/amedrontar/assustar/aterrorizar/preocupar/intimidar/perturbar
emoção	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria
empenho	batalha/dificuldade/luta
empetecar	lustrar/polir
empobrecimento	indigência/privação/miséria/pobreza
empregado	ama/arrumadeira/balconista/caixeiro/camareira/criada/empregada
empregar	recrutar
emprego	chácara/estudio/laboratorio/laboratórios/laboratórios/estúdio/granja/quinta/rito/laboratório/oficina/ritual/sítio/costume/fazenda/hábito/trabalho
empresa	agencia/transportação/turismo/agência/aventura/empresas/franquia/indústria/manufatura/transporte/distribuidor/expedição/cadeia
empresas	editora
empresário	barao/contabilista/homemdenegócios/magnata/mercador/contador/controlador/dono/negociante/negociante/comerciante/comerciante/proprietário
empurrar	derrubar
enaltecer	preconizar/publicitar/recomendar/divulgar/promover/anunciar
encabeçamento	manchete
encendedor	fósforo
encepamento	seleção
encerrar	finalizar/acabar/acabar/terminar/terminar
encetar	endereçar/lidar/tratar/falar/cobrir
encher	alagar/estofar/encharcar/estufar/inundar
enchimento	almofada
encobrir	disfarçar/mascarar/esconder/esconder
encolerizar	injuriar/ofender/insultar/irritar
encontrar	descobrir/achar
encontro	sessão/compromisso/visita
encorajar	conclamar/exortar/inspirar/incentivar/incentivar/alimentar
encosta	declividade/ribeira/barranco/descida/declínio/margem
encostar	rodear/contornar
encosto	pedestal/degrau/prateleira/estante/suporte/barra/pé/pé/base
endereço	domicílio/residência/casa
enfermidade	doenças/tumores/doença
enfraquecer	diluir
engajar	recrutar
enganar	atraiçoar/mentir/exagerar/emboscar/trair/trair/aumentar
engano	distorção/omissão/confusão
engenharia	informática
enlistar	recrutar
enraivecer	injuriar/ofender/insultar/irritar
ensinar	reforçar/educar/instruir/preparar/treinar/treinar
entender	enxergar/ouvir/ouvir/saborear/doer/escutar/escutar/cheirar/ler/sentir/saber/olhar/realizar/compreender/ver
enterro	inumação/sepultamento/funeral/sepultura
entornar	gotejar/pingar
entorno	habitat/cenário
entorpecente	medicamento/remédio
entrada	inscrição/matricula/matrícula/registro
entregar	legar/arrendar/emprestar/prestar/doar/doar/alugar/prover/abastecer/dispensar/distribuir/fornecer/suprir/submeter/pagar/deixar/passar/dar/dar
entreter	hospedar/receber
enumerar	somar/adicionar
envolvente	habitat/cenário
enxugar	escovar/varrer
episódio	drama
equilibrar	compensar
equino	égua/cavalo
equipamento	acendedor/arapuca/encosto/engenhoca/filtros/gadget/reactor/reactores/satélites/sensor/aparato/apetrecho/armadilha/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/satélites/aparelho/aparelho/satélite/chave/mecanismo/máquina/suporte/instrumento/instrumento/ferramenta/ferramenta/ferramenta/ferramenta/rede
equiparar	empatar
equivaler	corresponder/corresponder/combinar/concordar/representar
equivocar	enganar-se/tropeçar
equídeo	égua/cavalo
equívoco	distorção/omissão/confusão
era	idade/época/período
erguer	bombear
errar	enganar-se/tropeçar
erro	distorção/omissão/confusão
erva	grama/relva
ervas	grama/relva
esbanjar	indulgir
escaler	balsa
escapar	foragir/desertar/escapulir/fugir/abandonar
escapatória	escapada/escape/fuga
escape	escapada/fuga
escassez	penúria/fome/falta/carência
esclarecer	explicar
escolha	cabimento/default/votação/eleição/possibilidade/voto/padrão
escolher	eleger/eleger/peneirar/analisar/selecionar/votar/decidir
esconder	disfarçar/mascarar/encobrir/encobrir
escorregar	resvalar/derrapar/deslizar/patinar/patinar
escrever	subscrever/visar/assinar/imprimir
escritor	ghost-writer/ghostwriter
escritório	matriz/sede/base
escutar	grampear/interceptar
escândalo	freneticidade
esforço	batalha/dificuldade/luta
esfregar	roçar/escovar/escovar/varrer/enxugar/limpar
esgotar	desperdiçar
espalhar	borrifar
espaçamento	distância/distância/equilíbrio/proporção/formação
espaço	pé-direito/estacionamento
especialista	expert/experto/louvado/terapeuta/investigador/experiente/perito/perito/curandeiro/autoridade
especular	aventurar/ponderar/adivinhar/questionar/supor/perguntar/pretender
esperar	adiar
espirito	deidade/deidades/divinidade/fada/fadas/deus/deusa/divindade/anjo/espírito/deus/alma/fantasma
espião	espiã
esposa	dona-de-casa/cônjuge/esposo/marido/varão/mulher/homem
esposo	cônjuge/esposa/marido/varão/mulher/homem
espécie	variante/versão
espécies	tipo/classe
espírito	embevecimento/enlevo/psiquê/êxtase/alma
esqueleto	calcanhar/espinhaço/espinha/costas
estabelecer	nomear
estabelecimento	academia
estacada	sebe/sebes
estado	desemprego/prontidão/recontro/status/inimizade/integridade/relacionamento/rapidez/confronto/conflito/hostilidade/liberdade/preparação/situação/situação/condição/condição/condição/emprego/conexão/relação/meio/serviço/ligação/classe/posição
estar	merecer/estender-se/perplexar/importar/necessitar/rondar/valer/agradar/perambular/precisar/caber/depender/encostar/requerer/alcançar/pertencer/permanecer/ocupar/confundir/contar/superar/enrolar/parecer/parecer/encher/pesar/ficar/ficar/servir
estação	estio/inverno/outono/primavera/verão/colheita
estender	abranger/atravessar
estilo	moda/fala/moda
estimulante	coice
estimular	atemorizar/amedrontar/assustar/aterrorizar/intimidar
estourar	explodir
estrada	escadaria/alameda/escada/passadeira/via/rodovia/órbita/trilha/boca/faixa/entrada/entrada/caminho/caminho/caminho
estrato	proletariado
estratégia	complô/conspiração
estreitar	atarrachar/rosquear/comprimir/contrair
estrela	planeta
estrutura	estádio/rack/sacada/torres/varanda/alojamento/altar/infraestructura/infraestrutura/letreiro/pavimento/piso/placar/ponte/prédio/roque/torre/varanda/arena/balcão/cruz/infra-estrutura/monumento/monumentos/prateleira/calendário/edifício/painel/abrigo/esquema/placa/plano/casa/andar
estudante	ouvinte/pupilo/aluno
estímulo	coice
esvaziar	drenar/limpar
etapa	centúria/decênio/década/fim-de-semana/sazão/século/séculos/manhã/mês/noitada/século/século/estágio/semana/continuidade/trimestre/fase/tarde/duração/era/estação/idade/época/ano/noite/tempo/tempo/período/período/período
evadir-se	foragir/desertar/escapulir/fugir/escapar/abandonar
evaziar	drenar/esvaziar/limpar
evento	contágio/spillover/acção/feito/milagre/infecção/ato/ação
evidência	indício/sugestão/identificação/pista
examinar	revistar/comparar/procurar
excitar	atemorizar/amedrontar/assustar/aterrorizar/intimidar
excursão	vôo
excêntrico	aloprado/maluco
executivo	ministro
execução	jeito/modo/maneira/ferramenta/meio/caminho
exemplo	mostra/apoteose/precedente/excepção/exceção/amostra
exercer	representar
exercício	revisão/ensaio
exibição	quermesse/carnaval/feira/exposição
exigir	requerer
existência	presença/presença/vida/vida
expandir	entumescer/exemplificar/inflar/ilustrar/inchar
expectativa	esperança
expedição	frete
expelir	sangrar
experimentar	arrepender/arrepender-se/lamentar
experiência	augúrio/agouro/presságio/realidade/mundo
expirar	afogar-se/afogar
explanação	definição/porquê/razão
explicação	definição/porquê/razão
explodir	estourar
expor	exemplificar/ilustrar
expressar	evocar/xingar/acentuar/blasfemar/pontuar/enfatizar/articular/insultar/sugerir/formular/contar/falar/dizer/dizer
expressão	lemas/mote/cambial/lema
exprimir	evocar/xingar/acentuar/blasfemar/mensurar/pontuar/quantificar/enfatizar/articular/insultar/sugerir/formular/expressar/contar/falar/dizer/dizer
expulsar	extraditar/deportar/escorraçar/exilar/ostracizar/sangrar/banir/banir/entregar
extensão	anchura/comprimento/escopo/largura/longitude/alcance/órbita/área
fabricar	tricotar/urdir/assar/cozinhar/fiar/tecer/tecer/moldar/forjar/modelar/formar/preparar
face	superior/topo/fundo
faceta	sector/setor
facto	detalhe/observação
faculdade	atenção/vontade/sentido/memória/concentração
faixa	alcinha/coleira/arco
falar	cochichar/remarcar/balbuciar/enunciar/reparar/retrucar/rosnar/sussurrar/notar/resmungar/articular/discutir/comentar/mencionar/murmurar/murmurar/replicar/vocalizar/berrar/cantar/pregar/responder/gritar/dizer
falecer	afogar-se/afogar
falha	distorção/equívoco/omissão/engano/confusão/erro
falta	penúria/ausência/escassez/fome/carência
família	casal/casamento
farinhas	arroz/cereal/milho
fase	alcance
fato	acção/feito/milagre/ato/ação
fator	parâmetros/parâmetro
fazedor	fabricante/produtor
fazenda	lacticínios/lanígero/leitaria/leiteria/mercearia/rancho/veludo/granja/herdade/importação/lona/roça/seda/terras/algodão/lã/mercadoria/renda/produto/artigo
fazer	ticar/actuar/atrever/atrever-se/concitar/elicitar/engendrar/filmar/ousar/participar/pincelar/premiar/virar-se/voluntariar/estalar/recompensar/repagar/compartilhar/pintar/procriar/recriar/clicar/aguentar/copiar/gerar/lidar/sobreviver/tentar/atuar/compor/formar/escrever/estimular/incitar/soar/organizar/procurar/dirigir/oferecer/provocar/representar/tocar/tocar
fechar	vedar/selar/bater
feito	critica/parto/juízo/rejeição/recuperação/julgamento/partida/produção
feição	disposição/atividade
fenda	greta/racha/ranhura/fresta/fissura/buraco
fenómeno	ensejo/consequência/fortuna/conseqüência/azar/efeito/sorte/sorte/resultado/fim
fenômeno	ensejo/consequência/fortuna/conseqüência/azar/efeito/sorte/sorte/resultado/fim
ferir	aferroar/lesionar/apunhalar/esfaquear/lesar/lesar/danificar/machucar/machucar
fermentação	cerveja
ferramenta	acendedor/arapuca/brocha/chibata/encosto/engenhoca/escova/filtros/furadeira/gadget/satélites/sensor/aparato/apetrecho/armadilha/açoite/chicote/filtro/gancho/implemento/maquinaria/pincel/tecla/troço/alarme/apoio/encendedor/isqueiro/satélites/aparelho/aparelho/armamento/bastão/pau/satélite/equipamento/vara/arma/chave/mecanismo/máquina/suporte/agulha/instrumento/instrumento/instrumento/barra/rede
festa	boda/cerimónia/funeral/boda/enterro/festival/funeral/cerimônia/recepção/casamento
festividade	festival
fiasco	solecismo/gafe
figura	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/esquema/imagem/imagem/imagem/ilustração/ilustração/modelo/plano/desenho/desenho
fila	filaúnica/umapósooutro/bicha
filho	bebé/criancinha/nenê/recém-nascido/criança/bebê/menino
filosofia	credo
fim	efeitos/impacto/influência/pico/destino/ponta/efeito/efeito/produto
final	pico/destino/ponta
finalizar	encerrar/acabar/acabar/terminar/terminar
financiar	suportar
fio	toa/corda/cabo
firmeza	auto-controle/determinação
fissura	fenda
fixar	enganchar/trancar/pendurar/pendurar
flanco	base
flora	vegetação/jardim
fluido	líquido
fluir	entornar/verter/derramar
fofoca	boato/diz-que-diz-que/rumor/fama/renome
folha	lauda/escudeiro/página
folhagem	folha
folhas	lauda/escudeiro/espinafre/página
formar	atar
formação	alcantilado/cavernas/oca/penhasco/cordilheira/cordilheira/falésia/fila/furna/gruta/grutas/praia/caverna/declive/declives/serra/subida/depressão/encosta/costa/ladeira/crista/nascente/bicha/linha
fornada	bolo/pão
fornecer	apetrechar/aparelhar/equipar/suprir/alimentar/servir/servir/carregar/dar
força	impulso/protesto/tumulto/reação/vigor/impulso/atração/energia/compreensão
forçar	coagir/compelir/obrigar/empurrar/derrubar
foto	plano
fotografia	plano
fragmentar	triturar/moer
fragmento	mínimo/porção
frente	fachada/frontispício
fresta	ranhura/fenda
fronteira	acostamento/berma/delimitação/itinerário/itinerários/percurso/rota/contorno/horizonte/superfície/margem/linha/curso/borda/borda/borda/borda/estrada/caminho/caminho/limite/limite/limite
fronteiras	delimitação/contorno/superfície/borda/borda/borda/fronteira/fronteira/fronteira/limite/limite
fruta	figo/tâmara/baga/banana/maçã/fruto/ginja/cereja/semente
fruto	semente/fruta
fuga	escapada/escape
fugir	foragir/desertar/escapulir/escapar/abandonar
funcionário	diplomata/magistrado/embaixador/jurista/juiz/servidor
fundar	nomear
fundo	orçamento/depósito/base
funeral	inumação/inumação/sepultamento/sepultamento/enterro/enterro/sepultura/sepultura
fungo	micetes/bolor/mofo
fungos	micetes/bolor/mofo
furar	morder/perfurar/picar/atravessar
furto	roubalheira/roubo/assalto
futebol	râguebi/rúgbi
fábrica	casademoinho/cervejaria/cervejaria/manufatura/usina
fé	doutrina/expetativa/convicção/religião/filosofia/expectativa/certeza
fêmea	garotinha/guria/menininha/meninota/mocinha/menina/garota/moça/rapariga/mulher
física	electrónica/eletronica/eletrónica/eletrônica/eletrônica
gafe	solecismo
ganhar	rentabilizar/lucrar
gastar	delapidar/luxuriar/dilapidar/esbanjar/desperdiçar/desperdiçar
geek	aloprado/maluco
genitor	progenitora/papai/papá/painho/progenitor/pai/pai/mãe/mãe
gente	eleitorado/galera/vulgo/nação/estrato/geração/inimigo/mundo/população/pessoal/povo/povo/classe
gentileza	favor
gerenciar	chefiar/supervisar/supervisionar/conduzir
gerente	gestor/director/dirigente/administrador/diretor
gerir	chefiar/supervisar/supervisionar/conduzir
gesticular	ovacionar/acenar/aclamar/aplaudir
gestos	gesto
gestão	finança/tratamento
